"datetime","FLake","GLM","GOTM","MyLake","Obs","Simstrat","mean"
2005-07-25,22.7738990783691,24.2218379974365,23.8370895385742,24.0812683105469,24.2999992370605,24.548999786377,23.8926189422607
2005-08-22,22.2357006072998,23.1231918334961,22.7932319641113,23.5584697723389,23.1000003814697,23.9570007324219,23.1335189819336
2006-05-31,14.7160997390747,20.5227146148682,19.3751831054688,22.1284275054932,17,19.8570003509521,19.3198850631714
2006-07-05,20.6410999298096,21.1050186157227,22.4367485046387,23.3171787261963,21.8999996185303,21.5790004730225,21.8158092498779
2006-07-24,22.2791004180908,22.6430416107178,23.5407409667969,24.2219543457031,22.6000003814697,24.7000007629395,23.4769676208496
2006-08-15,21.7621994018555,22.3105392456055,20.9050178527832,22.4730224609375,21.2000007629395,22.2870006561279,21.9475559234619
2006-09-11,18.1161003112793,18.1034355163574,17.8834552764893,18.9443073272705,18.7000007629395,19.0639991760254,18.4222595214844
2007-06-11,17.9804992675781,19.4752902984619,19.5173015594482,20.6308536529541,22.7999992370605,20.2229995727539,19.5653888702393
2007-07-16,20.6567993164062,19.9493846893311,21.7113800048828,23.1115760803223,22.1000003814697,22.2810001373291,21.5420280456543
2007-08-14,21.5930995941162,21.5076122283936,21.9795608520508,22.8605194091797,23,23.0900001525879,22.2061584472656
2007-08-28,20.2859001159668,21.2369403839111,21.3277969360352,22.7723407745361,22.2000007629395,21.8640003204346,21.4973957061768
2007-08-29,20.3414001464844,21.4562587738037,21.5147972106934,22.9694385528564,22.4500007629395,22.261999130249,21.7087787628174
2007-08-30,20.3770999908447,21.69801902771,21.6697654724121,23.3272762298584,22.7600002288818,22.5359992980957,21.9216320037842
2007-08-31,20.4430999755859,22.0521926879883,21.8043479919434,22.6726531982422,23.3299999237061,22.5510005950928,21.9046588897705
2007-09-01,20.3386001586914,21.6029644012451,21.1461906433105,21.7237682342529,22.0400009155273,21.757999420166,21.3139045715332
2007-09-02,20.0105991363525,20.216064453125,20.2987022399902,21.5429344177246,21.6399993896484,21.1870002746582,20.6510601043701
2007-09-03,19.906400680542,20.3316631317139,19.9718780517578,21.2767086029053,21.2000007629395,20.9650001525879,20.4903301239014
2007-09-04,19.7520008087158,20.065258026123,19.7860279083252,21.1319313049316,21.1800003051758,20.7339992523193,20.293843460083
2007-09-05,19.6331005096436,19.9369945526123,19.590087890625,20.9331531524658,20.9400005340576,20.4459991455078,20.1078670501709
2007-09-06,19.5316009521484,19.9216556549072,19.392578125,20.6953983306885,20.8400001525879,20.382999420166,19.984846496582
2007-09-07,19.386100769043,19.416332244873,19.4254760742188,21.0413379669189,20.7299995422363,20.4950008392334,19.9528495788574
2007-09-08,19.4095993041992,19.8421726226807,19.8987464904785,21.2059059143066,21.3199996948242,20.5820007324219,20.1876850128174
2007-09-09,19.4375,19.875036239624,20.278678894043,21.1226825714111,21.5,20.6459999084473,20.2719795227051
2007-09-10,19.3985004425049,19.9776916503906,20.1033401489258,20.8716487884521,21.0100002288818,20.5270004272461,20.1756362915039
2007-09-11,19.2924003601074,19.7177810668945,19.6172332763672,20.2454433441162,19,20.2609996795654,19.8267715454102
2007-09-12,19.0811004638672,19.3275394439697,19.1003036499023,19.5083293914795,20.1100006103516,19.8390007019043,19.3712547302246
2007-09-13,18.7259998321533,18.6509017944336,18.6156826019287,19.4215297698975,19.8299999237061,19.2709999084473,18.9370227813721
2007-09-14,18.6142997741699,18.7431316375732,18.3880405426025,19.2578220367432,19.7700004577637,19.0650005340576,18.8136589050293
2007-09-15,18.4459991455078,18.5252532958984,18.148006439209,18.681245803833,19.3500003814697,18.7350006103516,18.50710105896
2007-09-16,18.1159000396729,18.0324649810791,17.872537612915,18.3589706420898,18.8799991607666,18.4109992980957,18.1581745147705
2007-09-17,17.881799697876,17.7350788116455,17.5511932373047,18.3133850097656,18.6900005340576,18.1560001373291,17.9274913787842
2007-09-18,17.7472991943359,17.8511562347412,17.3950500488281,18.2761116027832,18.6299991607666,17.9890003204346,17.8517234802246
2007-09-19,17.6266002655029,17.7738590240479,17.282054901123,18.3372592926025,18.6700000762939,17.9260005950928,17.7891548156738
2007-09-20,17.5424003601074,17.7903900146484,17.2496528625488,18.4555606842041,18.6900005340576,17.9459991455078,17.7968006134033
2007-09-21,17.5149993896484,17.8803844451904,17.3655281066895,18.8586807250977,19.0799999237061,18.2169990539551,17.9673183441162
2007-09-22,17.5417995452881,18.2415561676025,17.6517639160156,18.8154430389404,19.3299999237061,18.4599990844727,18.1421123504639
2007-09-23,17.5149002075195,17.7336845397949,17.7140121459961,18.677360534668,19.1000003814697,18.375,18.0029914855957
2007-09-24,17.4116992950439,17.5874195098877,17.5247535705566,18.5866985321045,18.9699993133545,18.0970001220703,17.8415142059326
2007-09-25,17.3229999542236,17.6029109954834,17.4102973937988,18.643871307373,18.9599990844727,18.0419998168945,17.8044158935547
2007-09-26,17.2856998443604,17.5274906158447,17.5651149749756,19.0446662902832,19.3099994659424,18.1550006866455,17.9155944824219
2007-09-27,17.3808002471924,17.7207279205322,18.1432247161865,19.2530517578125,19.7000007629395,18.386999130249,18.1769607543945
2007-09-28,17.4416007995605,18.0226650238037,18.3674774169922,19.0457820892334,19.7199993133545,18.5060005187988,18.2767051696777
